transactTime,sender,subject,messageBody,postNumber
6.673125e+17,Anonandon,"XJO, Gold, MOY and others",Originally posted by Newbegining: ↑I think S32 breaking out.Industrial resources looking good copper iron ore.AUD probably keep raising.ExpandYour post was a trigger for me to take action. I had been umming and ahhing about s32 for a while now.,51212110
6.6731232e+17,1ronnie,Its Over,"If the US eventually moves to eradicate cash by introducing Digital Dollar which it can control, cryptos are something it cant and that in the longer term would be a threat.Bill Gates says cryptocurrency is one innovation the world could do withoutLast Updated: Feb. 20, 2021 at 9:08 a.m. ETBill Gates, the Microsoft co-founder and technological whiz turned philanthropist, may not be a fan of bitcoin and digital-assets.Asked during an interview published on Thursday with The Wall Street Journal what technological advancement the world could do without, Gates had this to say:The way cryptocurrency works today allows for certain criminal activities. It’d be good to get rid of that, he quickly added: I probably should have said bio weapons. That’s a really bad thing.The comments from Gates implies that the billionaire technologists is no bitcoin BTCUSD, -0.94% BTC.1, 2.46% enthusiast but his remarks may simply suggest that he feels that cryptocurrencies are prone to abuse by swindlers and in money-laundering schemes—a common criticism of the decentralized digital asset that was created in 2009.During a CNBC interview that aired on Thursday, Gates adopted a more moderate stance, describing his views on bitcoin as neutral.I don’t own bitcoin, I’m not short bitcoin, so I’ve taken a neutral view, he said in the interview that aired on CNBC’s Sqawk Box show.I do think moving money into a more digital form and getting transaction costs down, that’s something the Gates Foundation does in developing countries, he added.Bitcoin can go up and down just based on the mania or whatever the views are and I don’t have a way of predicting how that will progress, he said.Bitcoin prices have seen parabolic moves of late, despite critics who say that it is a technology looking to solve a problem that doesn’t exist, while using outsize amounts of energy to create a single bitcoin.To be sure, this isn’t the first time, Gates has discussed bitcoin and cryptos but has beliefs have wavered over time. Back in 2018, he said in a separate Squawk Box interview that he would bet against bitcoin if he could.",51211969
6.6731034e+17,1ronnie,Its Over,Column 1Column 2Column 3Column 4Column 5Column 6Column 70MICRO POTENTIAL II      1   18/1/21 22/2/21 2  Mkt Cap(m)Entry PriceWeightageCurr PriceYTD return3       4LONG      5  Mkt Cap(m)    6NANOLLOSENC6$ 14.8  $ 0.14513.5%  $ 0.125-13.8%7CIRRALTOCRO  $    211.8  $ 0.07213.5%  $ 0.12573.6%8RARE XREE  $ 50.8  $ 0.1507.0%  $ 0.125-16.7%9HAZER GROUPHZR  $    188.5  $ 1.0807.0%  $ 1.30520.8%10ANSON RESOURCESASN  $ 72.8  $ 0.1057.0%  $ 0.084-20.0%11PERPETUAL RESOURCESPEC  $ 43.5  $ 0.0797.0%  $ 0.09722.8%12HEXAGON ENERGY MATERIALSHXG  $ 28.5  $ 0.1105.2%  $ 0.095-13.6%13PRESCIENT THERAPEUTICSPTX  $ 70.5  $ 0.0795.2%  $ 0.11039.2%14ESSENTIAL METALSESS  $ 24.0  $ 0.1304.3%  $ 0.120-7.7%15PATHFINDER RESOURCESPF1  $ 17.7  $ 0.3554.3%  $ 0.305-14.1%16RESOURCES & ENERGY GROUPREZ  $ 18.1  $ 0.0524.3%  $ 0.042-19.2%17MARQUEE RESOURCESMQR  $    6.4  $ 0.0804.3%  $ 0.061-23.8%18CRESO PHARMACPH  $    222.7  $ 0.2204.3%  $ 0.24511.4%19BLACKEARTH MINERALSBEM  $ 21.3  $ 0.0554.3%  $ 0.150172.7%20VECTION TECHNOLOGIESVR1  $    125.5  $ 0.1404.3%  $ 0.130-7.1%21ASPERMONTASP  $ 97.0  $ 0.0404.3%  $ 0.0400.0%22       23    100.0%  Avg Return14.8%24       25       26       27       28       29       30    XJO since 18/1/216799.102.0%31    Relative to XJOOutperform by12.7%,51210400
6.6730494e+17,Newbegining,"XJO, Gold, MOY and others",I think S32 breaking out.Industrial resources looking good copper iron ore.AUD probably keep raising.,51206282
6.673047e+17,Popeye82,Research Reports,Todd River Resourceshttp://toddriverpublic.s4.powerwebhosting.com.au/images/toddriver---gaiciseila.pdfhttp://toddriverpublic.s4.powerwebhosting.com.au/images/toddriver---boohahzuar.pdfhttp://toddriverpublic.s4.powerwebhosting.com.au/images/toddriver---kodaelutie.pdfhttp://toddriverpublic.s4.powerwebhosting.com.au/images/toddriver---aimangohng.pdf,51206068
6.6730284e+17,Sabbath,Australia pm get covid vaccine,Originally posted by Skywatchers ↑reported by this CCP sponsored youtube channelExpandLooks like saline to me,51204182
6.6730188e+17,Periculum,NEW ASX ADVOCACY GROUP,"Having been in the markets since the 90s, I have seen and experienced much on the boards - so to speak. Some good, some bad and some horrendous.I have contacted the Share holders association, and discovered they are more geared to making money out of membership and courses than representing retail investors who come in many shapes and sizes. They do a very good job at this aspect however they only monitor companies in the ASX200 and from my talks dont really represent mum and dad retail investors.I feel we are at a point where retail investors need to have a genuine VOICE, an advocacy group given the number of Australian individuals that have investments in the ASX or other exchanges.Some facts:- 9 million Australians hold investments outside of their home and super accounts- Of those, 6.6 million hold listed investments- 23% have held their accounts for less than 2 years- 900 thousand Australians plan to begin investing in the next 12 monthsAs a starting point, I believe an advocacy group should look to several issues but not limited to the ones listed. Happy for other thoughts:- Concept of a level playing field- Policing of Listing Rule 3.2- Overseas groups using the Australian market to raise capitol in AU$ that then disappear through failed businesses. (indeed the same issue for locals)- Market manipulation in its various forms- An attempt to protect through rules new investors. This point is especially pertinent given the share market offers the only real place for smaller investors to make money these days and many people as noted by the ASX are getting involved.I have many more thoughts ranging from HFT to fake disclosure by anonymous players but will stop here as a starting point. QUESTIONS1. Do we need a genuine independent voice for the people in share investment?2. What shape should this take?3. What would you like to see this group stand for?These are just some thoughts to reopen this discussion in a different direction. I might start another discussion thread on the same conversation...if anyone is interested.LINK TO REPORT: https://www2.asx.com.au/content/dam/asx/blog/ASX-Australian-Investor-Study-2020.pdf",51203487
6.6729486e+17,Popeye82,Research Reports,Province Resourceshttp://wise-owl.com/reports/province-resources-asx-prl-leads-australia-into-green-hydrogen-industry/,51200769
6.6728472e+17,Larry_Funda,Speculative Stock Portfolio,"Ive sold both MOC and CQE on Friday, locking in profits. Will update the portfolio and post in the future...",51200175
6.6731322e+17,traderforever,Morning trading February 22,"Originally posted by hot001 ↑PWN annExpandPWN announcement:In order to assist the Company and this new business unit in particular, to fast-track the growthin capabilities and footprint, Parkway Process Solutions has agreed to acquire a small butprofitable water treatment business based in Western Australia. The business being acquiredhas been in operation for over a decade, has an established client base with approximately100 customers and provides the Company with significant and immediate growthopportunities, in line with Company’s aspirations for Parkway Process Solutions. The businessbeing acquired has generated annual revenues in the order of $1 million, including in the mostrecent reporting period (FY20). The upfront acquisition cost (inclusive of on-site plant,equipment and stock) is $420,000 before adjustments, with a further payment of up to$100,000 payable at the 12-month anniversary, should the underlying business continue togenerate net revenues of at least $1 million in the 12 months, immediately followingsettlement. The Company intends to provide further details upon completion of the acquisitionwhich is currently scheduled to occur later this month.",51212554
